id,data,cidade_origem,uf_origem,base_origem,nf,valor_da_nota,volumes,peso_real,peso_cubado,cidade_destino,uf_destino,base,setor,frete_peso,seguro,total_frete,vendedor,cliente,data_inclusao
137540,2024-01-01,"São Paulo",SP,SAO,1020,873.11,12,13.277,0.0,ITAQUAQUECETUBA,SP,SPO,TLG,126.9283,2.61933,129.54763,"Agustinho Ormeneze",Hiroshima,
137541,2024-01-01,"São Paulo",SP,SAO,1020,1625.23,23,27.431,0.0,"SANTO ANDRE",SP,SPO,TLG,166.8167,4.87569,171.69239,"Agustinho Ormeneze",Hiroshima,
137542,2024-01-01,"São Paulo",SP,SAO,1020,1471.15,20,21.074,0.0,"SAO PAULO",SP,SAO,CEN,107.327458,4.41345,111.740908,"Agustinho Ormeneze",Hiroshima,
137543,2024-01-01,"São Paulo",SP,SAO,1020,553.84,9,12.179,0.0,"EMBU DAS ARTES",SP,SPO,TLG,112.2341,1.66152,113.89562,"Agustinho Ormeneze",Hiroshima,
137544,2024-01-01,"São Paulo",SP,SAO,1020,902.66,20,18.724,0.0,"SAO PAULO",SP,SAO,CEN,111.134784,2.70798,113.842764,"Agustinho Ormeneze",Hiroshima,
137545,2024-01-01,"São Paulo",SP,SAO,1020,1428.76,22,27.674,0.0,SUZANO,SP,SPO,TLG,184.1286,4.28628,188.41488,"Agustinho Ormeneze",Hiroshima,
137546,2024-01-01,"São Paulo",SP,SAO,1020,798.22,16,15.962,0.0,"SANTO ANDRE",SP,SPO,TLG,139.6824,2.39466,142.07706,"Agustinho Ormeneze",Hiroshima,
137547,2024-01-01,"São Paulo",SP,SAO,1020,1155.93,19,20.12,0.0,CONCORDIA,SC,XAP,CCA,139.38202,3.46779,142.84981,"Agustinho Ormeneze",Hiroshima,
137548,2024-01-01,"São Paulo",SP,SAO,1020,1308.82,25,24.71,0.0,BIGUACU,SC,FLN,504,157.3016,3.92646,161.22806,"Agustinho Ormeneze",Hiroshima,
137549,2024-01-01,"São Paulo",SP,SAO,1020,187.39,5,7.15,0.0,CURITIBA,PR,CWB,URB,38.2004,0.56217,38.76257,"Agustinho Ormeneze",Hiroshima,
137550,2024-01-01,"São Paulo",SP,SAO,1020,596.38,12,14.44,0.0,PELOTAS,RS,RGS,PET,160.900636,1.78914,162.689776,"Agustinho Ormeneze",Hiroshima,
137551,2024-01-01,"São Paulo",SP,SAO,1020,756.16,1,7.69,0.0,"NOVO HAMBURGO",RS,POA,QHV,76.60372,2.26848,78.8722,"Agustinho Ormeneze",Hiroshima,
137552,2024-01-01,"São Paulo",SP,SAO,1020,794.27,15,17.97,0.0,"BENTO GONCALVES",RS,POA,CXJ,210.802378,2.38281,213.185188,"Agustinho Ormeneze",Hiroshima,
137553,2024-01-01,"São Paulo",SP,SAO,1020,838.72,10,16.53,0.0,TAQUARA,RS,POA,QHV,159.065374,2.51616,161.581534,"Agustinho Ormeneze",Hiroshima,
137554,2024-01-01,"São Paulo",SP,SAO,1020,779.24,16,21.09,0.0,MEDIANEIRA,PR,CSC,CSC,96.349739,2.33772,98.687459,"Agustinho Ormeneze",Hiroshima,
137555,2024-01-01,"São Paulo",SP,SAO,1020,800.03,16,19.68,0.0,"TELEMACO BORBA",PR,PGZ,TEC,81.26842,2.40009,83.66851,"Agustinho Ormeneze",Hiroshima,
137556,2024-01-01,"São Paulo",SP,SAO,1020,1484.74,25,21.69,0.0,"PARAGUACU PAULISTA",SP,SPO,DVT,129.222,4.45422,133.67622,"Agustinho Ormeneze",Hiroshima,
137557,2024-01-01,"São Paulo",SP,SAO,1020,1070.85,13,17.27,0.0,"FOZ DO IGUACU",PR,CSC,IGU,75.125288,3.21255,78.337838,"Agustinho Ormeneze",Hiroshima,
137558,2024-01-01,"São Paulo",SP,SAO,1020,1096.02,22,29.02,0.0,CURITIBA,PR,CWB,URB,99.893941,3.28806,103.182001,"Agustinho Ormeneze",Hiroshima,
137559,2024-01-01,"São Paulo",SP,SAO,1020,827.27,18,17.03,0.0,"RIBEIRAO PRETO",SP,SPO,DVT,114.1395,2.48181,116.62131,"Agustinho Ormeneze",Hiroshima,
137560,2024-01-01,"São Paulo",SP,SAO,1020,1263.34,27,32.48,0.0,GUAIRA,PR,CSC,CSC,143.184171,3.79002,146.974191,"Agustinho Ormeneze",Hiroshima,
137561,2024-01-01,"São Paulo",SP,SAO,1020,1476.41,15,33.56,0.0,"FOZ DO IGUACU",PR,CSC,IGU,122.388668,4.42923,126.817898,"Agustinho Ormeneze",Hiroshima,
137562,2024-01-01,"São Paulo",SP,SAO,1020,1689.72,34,31.76,0.0,CIANORTE,PR,MGF,CIA,139.350759,5.06916,144.419919,"Agustinho Ormeneze",Hiroshima,
137563,2024-01-01,"São Paulo",SP,SAO,1020,2606.54,35,36.14,0.0,JOINVILLE,SC,JOI,JVE,197.49644,7.81962,205.31606,"Agustinho Ormeneze",Hiroshima,
137564,2024-01-01,"São Paulo",SP,SAO,1020,1370.86,28,38.96,0.0,"FRANCISCO BELTRAO",PR,PTO,PBC,146.433486,4.11258,150.546066,"Agustinho Ormeneze",Hiroshima,
137565,2024-01-01,"São Paulo",SP,SAO,1020,1576.21,18,19.862,0.0,"SAO PAULO",SP,SAO,CEN,114.325278,4.72863,119.053908,"Agustinho Ormeneze",Hiroshima,
137566,2024-01-01,"São Paulo",SP,SAO,1020,1701.11,29,37.15,0.0,"PORTO ALEGRE",RS,POA,URB,267.53783,5.10333,272.64116,"Agustinho Ormeneze",Hiroshima,
137567,2024-01-01,"São Paulo",SP,SAO,1020,1191.01,32,35.58,0.0,"FRANCISCO BELTRAO",PR,PTO,PBC,151.446392,3.57303,155.019422,"Agustinho Ormeneze",Hiroshima,
137568,2024-01-01,"São Paulo",SP,SAO,1020,576.42,10,10.74,0.0,CASCAVEL,PR,CAC,URB,65.603795,1.72926,67.333055,"Agustinho Ormeneze",Hiroshima,
137569,2024-01-01,"São Paulo",SP,SAO,1020,1846.69,35,49.99,0.0,CURITIBA,PR,CWB,URB,127.444373,5.54007,132.984443,"Agustinho Ormeneze",Hiroshima,
137570,2024-01-01,"São Paulo",SP,SAO,1020,669.76,8,13.7,0.0,"FOZ DO IGUACU",PR,CSC,IGU,65.946185,2.00928,67.955465,"Agustinho Ormeneze",Hiroshima,
137571,2024-01-01,"São Paulo",SP,SAO,1020,1071.76,15,18.25,0.0,JACAREI,SP,SPO,DOC,117.2949,3.21528,120.51018,"Agustinho Ormeneze",Hiroshima,
137572,2024-01-01,"São Paulo",SP,SAO,1020,1107.57,21,26.65,0.0,PINHAIS,PR,CWB,215,112.41574,3.32271,115.73845,"Agustinho Ormeneze",Hiroshima,
137573,2024-01-01,"São Paulo",SP,SAO,1020,924.26,18,21.7,0.0,"CERRO LARGO",RS,RGS,GEL,242.780566,2.77278,245.553346,"Agustinho Ormeneze",Hiroshima,
137574,2024-01-01,"São Paulo",SP,SAO,1020,1159.73,20,26.51,0.0,"LAGOA VERMELHA",RS,RGS,PFB,228.719992,3.47919,232.199182,"Agustinho Ormeneze",Hiroshima,
137575,2024-01-01,"São Paulo",SP,SAO,1020,2405.71,42,55.97,0.0,CURITIBA,PR,CWB,URB,161.656187,7.21713,168.873317,"Agustinho Ormeneze",Hiroshima,
137576,2024-01-01,"São Paulo",SP,SAO,1020,1534.16,22,34.6,0.0,MARIALVA,PR,MGF,JDS,110.334845,4.60248,114.937325,"Agustinho Ormeneze",Hiroshima,
137577,2024-01-01,"São Paulo",SP,SAO,1020,1973.96,29,43.73,0.0,"PATO BRANCO",PR,PTO,PBC,157.702976,5.92188,163.624856,"Agustinho Ormeneze",Hiroshima,
137578,2024-01-01,"São Paulo",SP,SAO,1020,3087.65,52,58.31,0.0,BLUMENAU,SC,BNU,BRU,312.9396,9.26295,322.20255,"Agustinho Ormeneze",Hiroshima,
